"ROWFIELD NAME","TYPE","LEN","","START","END","FORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions"
"121 DRUGDEACOD","A/N","","1","1014","1014","","Drug DEA Code","""DEA (Drug Enforcement Agency) class code identifies the abuse"
"","","","","","","","","potential of federally controlled substances. The values in this field are"
"","","","","","","","","generated from the Medispan Product Master file.  The appropriate"
"","","","","","","","","classes are:"
"","","","","","","","","1 = High abuse potential"
"","","","","","","","","2 = High abuse potential with severe dependence liability."
"","","","","","","","","3 = Less potential abuse than 2 and moderate dependence liability."
"","","","","","","","","4 = Less abuse than 3 limited dependence liability."
"","","","","","","","","5 = Limited abuse potential and in some states can be directly"
"","","","","","","","","purchased from a pharmacist."""
"122 RXOTCIND","A/N","","1","1015","1015","","Drug Prescription Over-the-Counter","Indicates legend Rx or over-the-counter."
"","","","","","","","Indicator","• A code of R or S requires a prescription."
"","","","","","","","","• A code of O or P means the product does not require a prescription."
"","","","","","","","","• If unknown it will be blank."
"123 MULTSRCCDE","A/N","","1","1016","1016","","Product Multi-source Indicator","""MEDI-SPAN code identifying drug products as either single or multi-"
"","","","","","","","","source original drug products or a generic copy of the standard drug"
"","","","","","","","","product."
"","","","","","","","","‘ ‘= Blank no indicator on the drug  Typically considered to be Brand:"
"","","","","","","","","N = Single-source product available from one manufacturer. The drug"
"","","","","","","","","is not available as a generic."
"","","","","","","","","M = Drug that is co-licensed and not available as a generic. It is"
"","","","","","","","","considered a single source product despite multiple manufacturers."
"","","","","","","","","O = Original product available from multiple manufacturers.  Typically"
"","","","","","","","","considered to be Generic:"
"","","","","","","","","Y = Drug product available from many manufacturers, considered"
"","","","","","","","","generic."""
"124 GENINDOVER","A/N","","1","1017","1017","","Generic Indicator Override","""An override of the MEDI-SPAN indicator manually changing the"
"","","","","","","","","coding of the drug. If no override exists, populate with the Generic"
"","","","","","","","","Indicator field. Example an N drug, based on a Client’s plan setup"
"","","","","","","","","could be overridden with Y code.  Valid values are:"
"","","","","","","","","*blank"
"","","","","","","","","M Multi-Source Not Generic"
"","","","","","","","","N Single-Source Not Generic"
"","","","","","","","","O Original, Generics Available"
"","","","","","","","","X Price as N Report as Y"
"","","","","","","","","Y Generic"
"","","","","","","","","Z O/R Gen Ind; Price as N"""
"125 PRDREIMIND","A/N","","1","1018","1018","","Product Reimbursement Indicator","Product Reimbursement Indicator. This field differentiates products"
"","","","","","","","","that are treated as generics by the payers even if the item is a brand"
"","","","","","","","","name drug."
"126 BRNDTRDNME","A/N","","1","1019","1019","","Brand/Trade Name Code","Flag denoting brand name code as defined by Medispan."
"","","","","","","","","T = Trademark"
"","","","","","","","","B = Branded generic name"
"","","","","","","","","G = Generic name"
