"ROW","FIELD NAME","TYPE","LEN","START","END","FORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions","Field Descriptions Continued"
"145 DRGUNITDOS","","A/N","1","1100","1100","","Drug Unit-Dose/Unit of Use Code","Identifies drugs, which are packaged as Unit-of-Use or Unit-of-Dose",""
"","","","","","","","","X = Unit-of-Dose",""
"","","","","","","","","U = Unit-of-Use.",""
"146 SBMUNITDOS","","A/N","1","1101","1101","","Submitted Unit Dose Indicator","Identifies drugs which are packaged as Unit Dose.",""
"147 ALTPRODTYP","","A/N","1","1102","1102","","Submitted Alternate Product Type","Identifies the type of data being submitted in the Product ID field.","17-Medi-Span DDID"
"","","","","","","","","Include screen validation – required if orig prescr product ID is","18-Frist DataBank Smart Key"
"","","","","","","","","submitted","19-Medical Economics GM"
"","","","","","","","","Current 5.1 values:","20-ICD9"
"","","","","","","","","*BLANK-Not Specified (Blank)","21-ICD10"
"","","","","","","","","01-Universal Product CodeUPC","22-Medi-Span Diagnosis Code"
"","","","","","","","","02-Health Related Item (HRI)","23-NCCI"
"","","","","","","","","03-National Drug Code (NDC)","24-SNOMED"
"","","","","","","","","04-HIBCC","25-CDT"
"","","","","","","","","06-DUR/PPS","26-DSM IV"
"","","","","","","","","07-CPT4","28=FDB Med Name ID"
"","","","","","","","","08-CPT5","29=FDB Routed Med ID"
"","","","","","","","","09-HCPCS","30=FDB Rtd. Dos. Form Med ID"
"","","","","","","","","10-PPAC","31=FDBMedID"
"","","","","","","","","11-NAPPI","32=GCN_SEQ_NO"
"","","","","","","","","12-EAN","33=HICL_SEQ_NO"
"","","","","","","","","14-Medi-Span GPI","34=UPN"
"","","","","","","","","15-First DataBank GCN","99-Other"
"","","","","","","","","16-medical Economics GPO",""
"148 ALTPRODCDE","","A/N","13","1103","1115","","Submitted Alternate Product Code","Submitted Alternate Product Code",""
"149 SRXNETWRK","","A/N","6","1116","1121","","Super Pharmacy Network ID","The ID Super Pharmacy Network within the RxCLAIM system.",""
"150 SRXNETTYPE","","A/N","2","1122","1123","","Super Pharmacy Network Type","Super Pharmacy Network Type. SN (Super Network) is currently the",""
"","","","","","","","","only valid value.",""
"151 RXNETWORK","","A/N","6","1124","1129","","Pharmacy Network ID","ID for a pharmacy grouping within the RxCLAIM® system. Networks",""
"","","","","","","","","are generally setup on the basis of reimbursement.",""
"","152 RXNETWRKNM","A/N","25","1130","1154","","Pharmacy Network Name","The name for a pharmacy grouping within the RxCLAIM system.",""
"153 RXNETCARR","","A/N","9","1155","1163","","Pharmacy Network Carrier","Carrier who owns the selected pharmacy network. Note: *DEFAULT",""
"","","","","","","","","carriers are non-client specific, so all clients have access to the",""
"","","","","","","","","networks within that carrier",""
"154 CCTRESERV2","","A/N","1","1164","1164","","Pharmacy Network Qualifier","Submitted Pharmacy ID qualifier taken from RxCLAIM.",""
"155 RXNETPRCQL","","A/N","1","1165","1165","","Pharmacy Network Process Qualifier","Indicates the type of processing performed for this Network.",""
"","","","","","","","","Blank = Blank",""
"","","","","","","","","N = No Bill/No Pay",""
"156 REGIONCDE","","A/N","10","1166","1175","","Pharmacy Region Code","The Pharmacy Region Code from the NCPCD based pharmacy files",""
"","","","","","","","","contained within the RxCLAIM system.",""
"157 PHRAFFIL","","A/N","10","1176","1185","","Pharmacy Affiliation Code","The Pharmacy affiliation code associated with the transaction. Usually",""
"","","","","","","","","indicates the pharmacy chain code. A new 9 position field is replacing",""
"","","","","","","","","this in the next version.",""
"158 NETPRIOR","","A/N","3","1186","1188","","Pharmacy Network Priority","Priorities were created to allow a client's customer's pharmacy",""
"","","","","","","","","networks to take precedence over their own pharmacy networks.",""
"","","","","","","","","Pharmacy networks on the Active Plan Pharmacy Networks screen",""
"","","","","","","","","automatically have a priority of 1. Networks added on the secondary",""
"159 NETTYPE","","A/N","2","1189","1190","","Pharmacy Network Type","Type of pharmacy network. Valid values are these:",""
"","","","","","","","","• NT = Network: These client-maintained networks are manually",""
"","","","","","","","","added and will not be updated by NCPDP. Create this type of network",""
"","","","","","","","","to include a variety of different combinations of pharmacies. Examples",""
"","","","","","","","","in",""
"160 NETSEQ","","N","5","1191","1195","","Pharmacy Network Sequence","The Sequence number of the contract record in the selected",""
"","","","","","","","","pharmacy record. Each time the relationship is modified between the",""
"","","","","","","","","pharmacy and the contract record, the Sequence number changes. So",""
"","","","","","","","","the first entry of a contract record has a Sequence of 1. If t",""
"","Catamaran Confidential","","","","","","","",""
"","","","","","","","01/08/2013","","Page 13"
