"ROWFIELD NAME","TYPE","LEN","START","END","FORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions"
"563 PASSDOCCT","N","3","5062","5064 999","","Submitted PA Segment Supporting","This space is being used to store information, Narrative information,"
"","","","","","","Doc Line Count","Facility information, and Compound Ingredient Modifiers that are not"
"","","","","","","","available elsewhere in the NCPDP format. Values are:"
"","","","","","","","CMN - Follows Medicare required CMN or DIF information"
"","","","","","","","CNA - Follows Medicare required CMN or DIF and narrative"
"","","","","","","","information"
"","","","","","","","CFA - Follows Medicare required CMN or DIF information and Facility"
"","","","","","","","Name and Address"
"","","","","","","","CNF - Follows Medicare required CMN or DIF information, narrative"
"","","","","","","","information, and Facility Name and Address"
"","","","","","","","FAC - Follows Medicare required Facility Name and address"
"","","","","","","","FAN - Follows Medicare required Facility Name and Address and"
"","","","","","","","narrative information"
"","","","","","","","NAR - Follows Medicare required Narrative Information"
"","","","","","","","MMN - Follows  Medicare modifier information and CMN or DIF"
"","","","","","","","information"
"","","","","","","","MNA - Follows  Medicare modifier information, CMN or DIF"
"","","","","","","","information and narrative information"
"","","","","","","","MFA - Follows  Medicare modifier information, CMN or DIF information"
"","","","","","","","and Facility Name and Address"
"","","","","","","","MNF - Follows  Medicare modifier information, CMN or DIF"
"","","","","","","","information, narrative information and Facility Name and Address"
"","","","","","","","MAC - Follows  Medicare modifier information and Facility Name and"
"","","","","","","","Address"
"","","","","","","","MAN - Follows  Medicare modifier information, narrative information"
"","","","","","","","and Facility Name and Address"
"","","","","","","","MAR - Follows  Medicare modifier information and narrative"
"","","","","","","","information"
"","","","","","","","MOD - Follows  Medicare modifier information"
"564 CCTRESERV3","A/N","1","5065","5065","","Payer Type","Indicates what type of payer is responsible for the product. Valid"
"","","","","","","","Values:"
"","","","","","","","Blank"
"","","","","","","","M – Medical"
"","","","","","","","P – Pharmacy"
"565 DELAYRSNCD","A/N","2","5066","5067","","Delay Reason Code","Required when needed to specify the reason that submission of the"
"","","","","","","","transaction has been delayed."
"566 MEDCDIND","A/N","2","5068","5069","","Medicaid Indicator","Required, if known, when patient has Medicaid coverage"
"567 MEDCDID","A/N","20","5070","5089","","Medicaid ID Number","Required, if known, when patient has Medicaid coverage"
"568 MEDCDAGNBR","A/N","15","5090","5104","","Medicaid Agency Number","Identify the Medicaid agency"
"569 MEDCDTCN","A/N","20","5105","5124","","Medicaid Subrogation","the Medicaid unique claim identification number (also referred to as"
"","","","","","","Internal/Transaction Control Nbr","the ICN or TCN)."
"570 FMSTIER","A/N","2","5125","5126","","Formulary Mgmt Services Tier","aka ORTIER.  Store the Override Tier when there is OR Tier"
"","","","","","","","and Tier is set up on Preferred Product Schedule and used"
"","","","","","","","during adjudication."
"571 FMSSTATUS","A/N","2","5127","5128","","Formulary Mgmt Services Formulary","No longer populated on Standard Extract.  See Formulary Mgmt"
"","","","","","","Status","Services (FMS) Extract."
"572 FMSDFLTIND","A/N","1","5129","5129","","Formulary Mgmt Services Default","No longer populated on Standard Extract.  See Formulary Mgmt"
"","","","","","","Indicator","Services (FMS) Extract."
"573 FMSBENLST","A/N","10","5130","5139","","Formulary Mgmt Services Formulary","No longer populated on Standard Extract.  See Formulary Mgmt"
"","","","","","","and Benefits List","Services (FMS) Extract."
"574 FMSLSTLVL3","A/N","10","5140","5149","","Formulary Mgmt Services List Level","No longer populated on Standard Extract.  See Formulary Mgmt"
"","","","","","","3","Services (FMS) Extract."
"575 FMSLSTLVL2","A/N","10","5150","5159","","Formulary Mgmt Services List Level","No longer populated on Standard Extract.  See Formulary Mgmt"
"","","","","","","2","Services (FMS) Extract."
"576 FMSLSTLVL1","A/N","10","5160","5169","","Formulary Mgmt Services List Level","No longer populated on Standard Extract.  See Formulary Mgmt"
"","","","","","","1","Services (FMS) Extract."
"577 FMSRULESET","A/N","10","5170","5179","","Formulary Mgmt Services Rule Set","No longer populated on Standard Extract.  See Formulary Mgmt"
"","","","","","","ID","Services (FMS) Extract."
"","Catamaran Confidential","","","","","",""
"","","","","","","01/08/2013",""
