"ROWFIELD NAME","TYPE","LEN","","START","ENDFORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions"
"58 RELATIONCD","A/N","","1","510","510","Submitted Relationship Code","""ID of family member's relationship to the cardholder. If the"
"","","","","","","","relationship code is not found use submitted relationship code."
"","","","","","","","0= Unspecified"
"","","","","","","","1= Cardholder"
"","","","","","","","2= Spouse"
"","","","","","","","3=Child"
"","","","","","","","4=Other"
"","","","","","","","5=Student"
"","","","","","","","6=Disabled Dependent"
"","","","","","","","7=Adult Dependent"
"","","","","","","","8=Significant Other"
"","","","","","","","** These are NCPDP values however the quality of this data  and"
"","","","","","","","manner in which this field is used will vary by specific  client."""
"59 SEXCODE","A/N","","1","511","511","Submitted Sex Code","Sex on eligibility file, else submitted sex code,"
"","","","","","","","M=Male"
"","","","","","","","F=Female"
"","","","","","","","U=Unknown"
"60 BIRTHDTE","N","","8","512","519 CCYYMMDD","Submitted Date of Birth","Submitted birth date"
"61 ELIGCLARIF","A/N","","1","520","520","Submitted Eligibility Clarification","This code indicates if the member is a dependent, a student, or a"
"","","","","","","Code","disabled person. Some plans provide different coverage for these"
"","","","","","","","individuals."
"62 CUSTLOC","A/N","","2","521","522","Submitted Customer Location Code","Submitted customer location based on NCPDP standard values."
"","","","","","","","ØØ=Not Specified"
"","","","","","","","Ø1=Home"
"","","","","","","","Ø2=Inter-Care"
"","","","","","","","Ø3=Nursing Home"
"","","","","","","","Ø4=Long Term/Extended Care"
"","","","","","","","Ø5=Rest Home"
"","","","","","","","Ø6=Boarding Home"
"","","","","","","","Ø7=Skilled Care Facility"
"","","","","","","","Ø8=Sub-Acute Care Facility"
"","","","","","","","Ø9=Acute Care Facility"
"","","","","","","","10= Outpatient"
"","","","","","","","11 = Hospice"
"","","","","","","","12= End Stage Renal Disease Treatment Facility"
