"ROW","FIELD NAME","TYPE","LEN","START","END","FORMAT","COMMENTS/VALUESExtract Unpacked V8.0A","Field Descriptions"
"","","","","","","","1=Yes, the sequence is the claim",""
"","","","","","","","with the final (last) disposition.","1=Yes, the sequence is the claim with the final (last) disposition."
"655","Final Disposition Flag N","","1","6282","6282","","",""
"","","","","","","","0=No, the sequence is not the","0=No, the sequence is not the final (last) disposition."
"","","","","","","","final (last) disposition.",""
"","","","","","","","GPI 4 Name with right spaces",""
"656","Drug Class Name","N","60","6283","6342","","","Drug Class Name"
"","","","","","","","and asterisks trimmed.",""
"","","","","","","","When claim fill date occurs on the","Semi monthly Billing Cycle Date"
"","","","","","","","1-15 of the month, then the field",""
"","","","","","","","value = ""1-15"" will be populated.",""
"657","Billing Cycle","N","15","6343","6357","","When the claim’s fill date occurs",""
"","","","","","","","after the 15th of the month, ""16-",""
"","","","","","","","End of Month"" will be populated in",""
"","","","","","","","this field.",""
"","","","","","","","","Admin Fee"
"","","","","","","","This will be populated from the",""
"","","","","","","","Admin Fee screen parameters.",""
"","","","","","","","Paid claims will be populated with",""
"","","","","","","","the value entered in the “Paid”",""
"","","","","","","","Admin Fee parameter, DMR",""
"","","","","","","","claims will be populated with the",""
"658","Admin Fee","","8","6358","6365","ZZZZ9.99","value entered in the DMR Admin",""
"","","","","","","","fee parameter and 0 will be",""
"","","","","","","","populated for all other types of",""
"","","","","","","","claims.     When CLMORIGIN =",""
"","","","","","","","M, use DMR Admin Fee, Else use",""
"","","","","","","","“Paid” Admin fee from the extract",""
"","","","","","","","parameter screen.",""
