Medi-Cal UA and UB Modifier Maximum Allowable Reimbursement Rates for Surgical and Anesthesia Supplies and Drugs as of February 2016,,,,,,,,,,,
Procedure Code,,Outpatient,,,,Procedure Code,,Medical,,,UA - Medicaid level of care 10
From,Thru,UA,UB,,,From,Thru,UA,UB,,UB - Medicaid level of care 11
C2613,C2613,$16.00,$36.00,,,C2613,C2613,$21.00,$41.00,,
C2624,C2624,$45.00,$75.00,,,C2624,C2624,$50.00,$80.00,,
C5271,C5278,$20.00,$50.00,,,C5271,C5278,$25.00,$55.00,,
C9349,C9349,$20.00,$50.00,,,C9349,C9349,$25.00,$55.00,,
C9724,C9724,$35.00,$65.00,,,C9724,C9724,$40.00,$70.00,,
C9725,C9725,$20.00,$50.00,,,C9725,C9725,$25.00,$55.00,,
C9732,C9732,$47.00,$57.00,,,C9732,C9732,$52.00,$62.00,,
C9734,C9734,$60.00,$90.00,,,C9734,C9734,$65.00,$95.00,,
C9735,C9735,$10.00,$30.00,,,C9735,C9735,$15.00,$35.00,,
C9736,C9736,$45.00,$75.00,,,C9736,C9736,$50.00,$80.00,,
C9737,C9737,$35.00,$65.00,,,C9737,C9737,$40.00,$70.00,,
C9742,C9742,$5.00,$25.00,,,C9742,C9742,$10.00,$30.00,,
G0440,G0441,$20.00,$50.00,,,G0440,G0441,$25.00,$55.00,,
G0364,G0364,$12.00,$42.00,,,G0364,G0364,$17.00,$47.00,,
G0392,G0393,$50.00,$80.00,,,G0392,G0393,$55.00,$85.00,,
G6018,G6020,$20.00,$50.00,,,G6018,G6020,$25.00,$55.00,,
G6022,G6025,$20.00,$50.00,,,G6022,G6025,$25.00,$55.00,,
G6026,G6028,$10.00,$30.00,,,G6026,G6028,$15.00,$35.00,,
S2066,S2067,$50.00,$80.00,,,S2066,S2067,$55.00,$85.00,,
S2068,S2068,$60.00,$90.00,,,S2068,S2068,$65.00,$95.00,,
S2075,S2077,$35.00,$65.00,,,S2075,S2077,$30.00,$60.00,,
S2078,S2078,$20.00,$50.00,,,S2078,S2078,$25.00,$55.00,,
S2079,S2079,$35.00,$65.00,,,S2079,S2079,$50.00,$80.00,,
S2114,S2114,$30.00,$60.00,,,S2114,S2114,$35.00,$65.00,,
S2117,S2117,$10.00,$30.00,,,S2117,S2117,$45.00,$75.00,,
S2118,S2118,$100.00,$130.00,,,S2118,S2118,$105.00,$135.00,,
S2131,S2131,$20.00,$25.00,,,S2131,S2131,$25.00,$30.00,,
S2230,S2230,$40.00,$70.00,,,S2230,S2230,$45.00,$75.00,,
S2235,S2235,$40.00,$70.00,,,S2235,S2235,$45.00,$75.00,,
S2270,S2270,$6.00,$6.00,,,S2270,S2270,$11.00,$11.00,,
Z1208,Z1210,$36.00,$66.00,,,Z1208,Z1210,$41.00,$71.00,,
Z9780,Z9780,$25.00,$25.00,,,Z9780,Z9780,$30.00,$30.00,,
10000,10001,$12.00,$32.00,,,10000,10001,$17.00,$37.00,,
10002,10029,$17.00,$32.00,,,10002,10029,$22.00,$37.00,,
10030,10030,$15.00,$35.00,,,10030,10030,$20.00,$40.00,,
10031,10040,$17.00,$32.00,,,10031,10040,$22.00,$37.00,,
10060,10060,$15.00,$30.00,,,10060,10060,$20.00,$35.00,,
10061,10061,$20.00,$40.00,,,10061,10061,$25.00,$45.00,,
10080,10080,$18.00,$33.00,,,10080,10080,$23.00,$38.00,,
10081,10081,$25.00,$55.00,,,10081,10081,$30.00,$60.00,,
10100,10100,$10.00,$20.00,,,10100,10100,$15.00,$25.00,,
10101,10101,$15.00,$25.00,,,10101,10101,$20.00,$30.00,,
10120,10120,$20.00,$34.00,,,10120,10120,$25.00,$39.00,,
10121,10121,$20.00,$50.00,,,10121,10121,$25.00,$55.00,,
10140,10141,$15.00,$35.00,,,10140,10141,$20.00,$40.00,,
10160,10160,$3.00,$3.00,,,10160,10160,$8.00,$8.00,,
10180,10180,$12.00,$32.00,,,10180,10180,$17.00,$37.00,,
11000,11047,$6.00,$20.00,,,11000,11047,$11.00,$25.00,,
11050,11052,$2.00,$2.00,,,11050,11052,$7.00,$7.00,,
11055,11057,$2.00,$2.00,,,11055,11057,$7.00,$7.00,,
11100,11100,$12.00,$26.00,,,11100,11100,$17.00,$31.00,,
11101,11101,$12.00,$32.00,,,11101,11101,$17.00,$37.00,,
11200,11200,$8.00,$22.00,,,11200,11200,$13.00,$27.00,,
11201,11201,$8.00,$28.00,,,11201,11201,$13.00,$33.00,,
11300,11300,$8.00,$8.00,,,11300,11300,$13.00,$13.00,,
11301,11308,$8.00,$8.00,,,11301,11308,$13.00,$13.00,,
11310,11310,$8.00,$8.00,,,11310,11310,$13.00,$13.00,,
11311,11311,$8.00,$8.00,,,11311,11311,$13.00,$13.00,,
11312,11312,$8.00,$8.00,,,11312,11312,$13.00,$13.00,,
11313,11313,$8.00,$8.00,,,11313,11313,$13.00,$13.00,,
11400,11406,$14.00,$28.00,,,11400,11406,$19.00,$33.00,,
11420,11424,$14.00,$28.00,,,11420,11424,$19.00,$33.00,,
11426,11426,$14.00,$34.00,,,11426,11426,$19.00,$39.00,,
11440,11446,$16.00,$36.00,,,11440,11446,$21.00,$41.00,,
11450,11450,$16.00,$36.00,,,11450,11450,$21.00,$41.00,,
11451,11451,$20.00,$40.00,,,11451,11451,$25.00,$45.00,,
11462,11462,$16.00,$36.00,,,11462,11462,$21.00,$41.00,,
11463,11463,$20.00,$40.00,,,11463,11463,$25.00,$45.00,,
11470,11470,$16.00,$36.00,,,11470,11470,$21.00,$41.00,,
11471,11471,$20.00,$40.00,,,11471,11471,$25.00,$45.00,,
11600,11606,$15.00,$35.00,,,11600,11606,$20.00,$40.00,,
11620,11626,$15.00,$35.00,,,11620,11626,$20.00,$40.00,,
11640,11646,$17.00,$37.00,,,11640,11646,$22.00,$42.00,,
11700,11711,$4.00,$4.00,,,11700,11711,$9.00,$9.00,,
11719,11719,$4.00,$4.00,,,11719,11719,$9.00,$9.00,,
11720,11720,$4.00,$4.00,,,11720,11720,$9.00,$9.00,,
11721,11721,$8.00,$8.00,,,11721,11721,$13.00,$13.00,,
11730,11732,$10.00,$30.00,,,11730,11732,$15.00,$35.00,,
11740,11740,$6.00,$6.00,,,11740,11740,$11.00,$11.00,,
