Code,FS_Rules,FS_Prof_Tech_Component,EFS_Rules,EFS_Prof_Tech_Component
00100,1,0,1,0
00102,1,0,1,0
00103,1,0,1,0
00104,1,0,1,0
00120,1,0,1,0
00124,1,0,1,0
00126,1,0,1,0
00140,1,0,1,0
00142,1,0,1,0
00144,1,0,1,0
00145,1,0,1,0
00147,1,0,1,0
00148,1,0,1,0
00160,1,0,1,0
00162,1,0,1,0
00164,1,0,1,0
00170,1,0,1,0
00172,1,0,1,0
00174,1,0,1,0
00176,1,0,1,0
00190,1,0,1,0
00192,1,0,1,0
00210,1,0,1,0
00211,0,0,0,0
00212,1,0,1,0
00214,1,0,1,0
00215,1,0,1,0
00216,1,0,1,0
00218,1,0,1,0
00220,1,0,1,0
00222,1,0,1,0
00300,1,0,1,0
00320,1,0,1,0
00322,1,0,1,0
00326,1,0,1,0
00350,1,0,1,0
00352,1,0,1,0
00400,1,0,1,0
00402,1,0,1,0
00404,1,0,1,0
00406,1,0,1,0
00410,1,0,1,0
00450,1,0,1,0
00452,1,0,1,0
00454,1,0,1,0
00470,1,0,1,0
00472,1,0,1,0
00474,1,0,1,0
00500,1,0,1,0
00520,1,0,1,0
00522,1,0,1,0
00524,1,0,1,0
00528,1,0,1,0
00529,1,0,1,0
00530,1,0,1,0
00532,1,0,1,0
00534,1,0,1,0
00537,1,0,1,0
00539,1,0,1,0
00540,1,0,1,0
00541,1,0,1,0
00542,1,0,1,0
00546,1,0,1,0
00548,1,0,1,0
00550,1,0,1,0
00560,1,0,1,0
00561,1,0,1,0
00562,1,0,1,0
00563,1,0,1,0
00566,1,0,1,0
00567,0,0,0,0
00580,1,0,1,0
00600,1,0,1,0
00604,1,0,1,0
00620,1,0,1,0
00622,1,0,1,0
00625,1,0,1,0
00626,1,0,1,0
00630,1,0,1,0
00632,1,0,1,0
00634,1,0,1,0
00635,1,0,1,0
00640,1,0,1,0
00670,1,0,1,0
00700,1,0,1,0
00702,1,0,1,0
00730,1,0,1,0
00740,1,0,1,0
00750,1,0,1,0
00752,1,0,1,0
00754,1,0,1,0
00756,1,0,1,0
00770,1,0,1,0
00790,1,0,1,0
00792,1,0,1,0
00794,1,0,1,0
00796,1,0,1,0
00797,1,0,1,0
00800,1,0,1,0
00802,1,0,1,0
00810,1,0,1,0
00820,1,0,1,0
00830,1,0,1,0
00832,1,0,1,0
00834,1,0,1,0
00836,1,0,1,0
00840,1,0,1,0
00842,1,0,1,0
00844,1,0,1,0
00846,1,0,1,0
00848,1,0,1,0
00851,1,0,1,0
00860,1,0,1,0
00862,1,0,1,0
00864,1,0,1,0
00865,1,0,1,0
00866,1,0,1,0
00868,1,0,1,0
00870,1,0,1,0
00872,1,0,1,0
00873,1,0,1,0
00880,1,0,1,0
00882,1,0,1,0
00902,1,0,1,0
00904,1,0,1,0
00906,1,0,1,0
00908,1,0,1,0
00910,1,0,1,0
00912,1,0,1,0
00914,1,0,1,0
00916,1,0,1,0
00918,1,0,1,0
00920,1,0,1,0
00921,1,0,1,0
00922,1,0,1,0
00924,1,0,1,0
00926,1,0,1,0
00928,1,0,1,0
00930,1,0,1,0
00932,1,0,1,0
00934,1,0,1,0
00936,1,0,1,0
00938,1,0,1,0
00940,1,0,1,0
00942,1,0,1,0
00944,1,0,1,0
00948,1,0,1,0
00950,1,0,1,0
00952,1,0,1,0
01112,1,0,1,0
01120,1,0,1,0
01130,1,0,1,0
01140,1,0,1,0
01150,1,0,1,0
01160,1,0,1,0
01170,1,0,1,0
01173,1,0,1,0
01180,1,0,1,0
01190,1,0,1,0
01200,1,0,1,0
01202,1,0,1,0
01210,1,0,1,0
01212,1,0,1,0
01214,1,0,1,0
01215,1,0,1,0
01220,1,0,1,0
01230,1,0,1,0
01232,1,0,1,0
01234,1,0,1,0
01250,1,0,1,0
01260,1,0,1,0
01270,1,0,1,0
01272,1,0,1,0
01274,1,0,1,0
01320,1,0,1,0
01340,1,0,1,0
01360,1,0,1,0
01380,1,0,1,0
01382,1,0,1,0
01390,1,0,1,0
01392,1,0,1,0
01400,1,0,1,0
01402,1,0,1,0
01404,1,0,1,0
01420,1,0,1,0
01430,1,0,1,0
01432,1,0,1,0
01440,1,0,1,0
01442,1,0,1,0
01444,1,0,1,0
01462,1,0,1,0
01464,1,0,1,0
01470,1,0,1,0
01472,1,0,1,0
01474,1,0,1,0
01480,1,0,1,0
01482,1,0,1,0
01484,1,0,1,0
01486,1,0,1,0
01490,1,0,1,0
01500,1,0,1,0
01502,1,0,1,0
01520,1,0,1,0
01522,1,0,1,0
01610,1,0,1,0
01620,1,0,1,0
01622,1,0,1,0
01630,1,0,1,0
01634,1,0,1,0
01636,1,0,1,0
01638,1,0,1,0
01650,1,0,1,0
01652,1,0,1,0
01654,1,0,1,0
01656,1,0,1,0
01670,1,0,1,0
01680,1,0,1,0
01682,1,0,1,0
01710,1,0,1,0
01712,1,0,1,0
01714,1,0,1,0
01716,1,0,1,0
01730,1,0,1,0
01732,1,0,1,0
01740,1,0,1,0
01742,1,0,1,0
01744,1,0,1,0
01756,1,0,1,0
01758,1,0,1,0
01760,1,0,1,0
01770,1,0,1,0
01772,1,0,1,0
01780,1,0,1,0
01782,1,0,1,0
01810,1,0,1,0
01820,1,0,1,0
01829,1,0,1,0
01830,1,0,1,0
01832,1,0,1,0
01840,1,0,1,0
01842,1,0,1,0
01844,1,0,1,0
01850,1,0,1,0
