Code,FS_Rules,FS_Prof_Tech_Component,EFS_Rules,EFS_Prof_Tech_Component
00100,0,0,0,0
00102,0,0,0,0
00103,0,0,0,0
00104,0,0,0,0
00120,0,0,0,0
00124,0,0,0,0
00126,0,0,0,0
00140,0,0,0,0
00142,0,0,0,0
00144,0,0,0,0
00145,0,0,0,0
00147,0,0,0,0
00148,0,0,0,0
00160,0,0,0,0
00162,0,0,0,0
00164,0,0,0,0
00170,0,0,0,0
00172,0,0,0,0
00174,0,0,0,0
00176,0,0,0,0
00190,0,0,0,0
00192,0,0,0,0
00210,1,0,1,0
00211,0,0,0,0
00212,0,0,0,0
00214,0,0,0,0
00215,0,0,0,0
00216,0,0,0,0
00218,0,0,0,0
00220,0,0,0,0
00222,0,0,0,0
00300,0,0,0,0
00320,0,0,0,0
00322,0,0,0,0
00326,0,0,0,0
00350,0,0,0,0
00352,0,0,0,0
00400,0,0,0,0
00402,0,0,0,0
00404,0,0,0,0
00406,0,0,0,0
00410,0,0,0,0
00450,0,0,0,0
00452,0,0,0,0
00454,0,0,0,0
00470,0,0,0,0
00472,0,0,0,0
00474,0,0,0,0
00500,0,0,0,0
00520,0,0,0,0
00522,0,0,0,0
00524,0,0,0,0
00528,0,0,0,0
00529,0,0,0,0
00530,0,0,0,0
00532,0,0,0,0
00534,0,0,0,0
00537,0,0,0,0
00539,0,0,0,0
00540,0,0,0,0
00541,0,0,0,0
00542,0,0,0,0
00546,0,0,0,0
00548,0,0,0,0
00550,0,0,0,0
00560,0,0,0,0
00561,0,0,0,0
00562,0,0,0,0
00563,0,0,0,0
00566,0,0,0,0
00567,0,0,0,0
00580,0,0,0,0
00600,0,0,0,0
00604,0,0,0,0
00620,0,0,0,0
00622,0,0,0,0
00625,0,0,0,0
00626,0,0,0,0
00630,0,0,0,0
00632,0,0,0,0
00634,0,0,0,0
00635,0,0,0,0
00640,0,0,0,0
00670,0,0,0,0
00700,0,0,0,0
00702,0,0,0,0
00730,0,0,0,0
00731,0,0,0,0
00732,0,0,0,0
00750,0,0,0,0
00752,0,0,0,0
00754,0,0,0,0
00756,0,0,0,0
00770,0,0,0,0
00790,0,0,0,0
00792,0,0,0,0
00794,0,0,0,0
00796,0,0,0,0
00797,0,0,0,0
00800,0,0,0,0
00802,0,0,0,0
00811,0,0,0,0
00812,0,0,0,0
00813,0,0,0,0
00820,0,0,0,0
00830,0,0,0,0
00832,0,0,0,0
00834,0,0,0,0
00836,0,0,0,0
00840,0,0,0,0
00842,0,0,0,0
00844,0,0,0,0
00846,0,0,0,0
00848,0,0,0,0
00851,0,0,0,0
00860,0,0,0,0
00862,0,0,0,0
00864,0,0,0,0
00865,0,0,0,0
00866,0,0,0,0
00868,0,0,0,0
00870,0,0,0,0
00872,0,0,0,0
00873,0,0,0,0
00880,0,0,0,0
00882,0,0,0,0
00902,0,0,0,0
00904,0,0,0,0
00906,0,0,0,0
00908,0,0,0,0
00910,0,0,0,0
00912,0,0,0,0
00914,0,0,0,0
00916,0,0,0,0
00918,0,0,0,0
00920,0,0,0,0
00921,0,0,0,0
00922,0,0,0,0
00924,0,0,0,0
00926,0,0,0,0
00928,0,0,0,0
00930,0,0,0,0
00932,0,0,0,0
00934,0,0,0,0
00936,0,0,0,0
