CreatedDate,Count
04 Jun 2018,281
05 Jun 2018,643
06 Jun 2018,491
07 Jun 2018,1496
08 Jun 2018,733
09 Jun 2018,29
10 Jun 2018,6
11 Jun 2018,780
12 Jun 2018,551
13 Jun 2018,981
14 Jun 2018,722
15 Jun 2018,134
16 Jun 2018,0
17 Jun 2018,0
18 Jun 2018,1532
19 Jun 2018,649
20 Jun 2018,1157
21 Jun 2018,1143
22 Jun 2018,1082
23 Jun 2018,39
24 Jun 2018,7
25 Jun 2018,912
26 Jun 2018,820
27 Jun 2018,1035
28 Jun 2018,1004
29 Jun 2018,895
30 Jun 2018,0
01 Jul 2018,23
02 Jul 2018,764
03 Jul 2018,628
04 Jul 2018,702
05 Jul 2018,619
06 Jul 2018,609
07 Jul 2018,0
08 Jul 2018,8
09 Jul 2018,999
10 Jul 2018,1145
11 Jul 2018,725
12 Jul 2018,1140
13 Jul 2018,1243
14 Jul 2018,29
15 Jul 2018,2
16 Jul 2018,208
17 Jul 2018,869
18 Jul 2018,566
19 Jul 2018,2200
20 Jul 2018,1470
21 Jul 2018,53
22 Jul 2018,143
23 Jul 2018,1692
24 Jul 2018,1579
25 Jul 2018,1480
26 Jul 2018,1280
27 Jul 2018,1324
28 Jul 2018,177
29 Jul 2018,145
30 Jul 2018,1256
31 Jul 2018,1069
01 Aug 2018,1691
02 Aug 2018,1223
03 Aug 2018,963
04 Aug 2018,3
05 Aug 2018,230
06 Aug 2018,1158
07 Aug 2018,954
08 Aug 2018,1277
09 Aug 2018,1251
10 Aug 2018,1095
11 Aug 2018,270
12 Aug 2018,272
13 Aug 2018,1464
14 Aug 2018,1340
15 Aug 2018,246
16 Aug 2018,1991
17 Aug 2018,899
18 Aug 2018,1
19 Aug 2018,60
20 Aug 2018,1238
21 Aug 2018,974
22 Aug 2018,1352
23 Aug 2018,1084
24 Aug 2018,1380
25 Aug 2018,13
26 Aug 2018,257
27 Aug 2018,1395
28 Aug 2018,191
29 Aug 2018,2067
30 Aug 2018,778
31 Aug 2018,793
01 Sep 2018,0
02 Sep 2018,27
03 Sep 2018,1287
04 Sep 2018,435
05 Sep 2018,705
06 Sep 2018,1369
07 Sep 2018,1246
08 Sep 2018,139
09 Sep 2018,0
10 Sep 2018,1152
11 Sep 2018,1202
12 Sep 2018,1425
13 Sep 2018,1002
14 Sep 2018,943
15 Sep 2018,0
16 Sep 2018,144
17 Sep 2018,1014
18 Sep 2018,1001
19 Sep 2018,1098
20 Sep 2018,1157
21 Sep 2018,1102
22 Sep 2018,12
23 Sep 2018,2
24 Sep 2018,1200
25 Sep 2018,781
26 Sep 2018,1306
27 Sep 2018,1019
28 Sep 2018,1098
